,Producer,Name,Calories,Fat,Carbohydrates,Sugar,Protein,Salt,Category,Subcategory,Price,Palm oil,Karagen,NutriScore
0,Goplana,Jeżyki,497,23.0,66.0,47.0,5.3,0.46,Food,Cookies,5.25,1,0,E
1,Goplana,Jeżyki,486,24.0,59.0,34.0,5.6,0.51,Food,Chocolate bar,1.35,1,0,E
2,Hellena,Oranżada zero,1,0.0,0.1,0.0,0.0,0.01,Drink,Zero,4.29,0,0,B
3,Goplana,Grześki,522,29.0,53.0,27.0,11.0,0.45,Food,Chocolate bar,1.04,1,0,E
4,Goplana,Grześki,522,29.0,54.0,32.0,10.0,0.28,Food,Chocolate bar,1.46,1,0,D
5,Jutrzenka,Familijne,552,31.0,62.0,34.0,6.0,0.52,Food,Cookies,4.71,1,0,E
6,Jutrzenka,Familijne,544,30.0,61.0,34.0,7.0,0.4,Food,Cookies,4.71,1,0,E
7,Jutrzenka,Akuku!,356,0.0,82.0,58.0,6.7,0.03,Food,Jelly candy,3.79,0,0,D
8,Goplana,Mella,362,7.2,72.3,59.9,0.8,0.16,Food,Chocolates,7.99,1,0,E
9,Jutrzenka,Petit Beurre,444,12.0,74.0,22.0,7.7,1.1,Food,Cookies,0.93,1,0,E
10,Goplana,Oryginalna mleczna,530,30.0,56.0,55.0,8.0,0.2,Food,Chocolate,4.39,0,0,E
11,Jutrzenka,Rodzynki,426,15.0,67.0,65.0,4.0,0.09,Food,Chocolate fruits,4.99,1,0,E
12,Jutrzenka,Draże chińskie,512,27.0,54.0,52.0,11.0,0.02,Food,Chocolate dragees,4.49,1,0,D
13,Jutrzenka,Draże mleczne,456,17.0,68.0,65.0,7.7,0.27,Food,Chocolate dragees,3.29,1,0,E
14,Jutrzenka,Kamyki orzechowe,497,24.0,53.0,50.0,16.0,0.0,Food,Chocolate dragees,3.29,1,0,D
15,Goplana,Jeżyki,474,22.0,63.0,43.0,5.7,0.55,Food,Chocolate bar,1.35,1,0,E
16,Tomcio paluch,Kanapka cezar,258,13.0,24.0,1.3,13.0,1.3,Food,Sandwich,,0,0,C
17,GustoBello,Pinsa,235,1.8,46.0,1.1,7.3,1.2,Food,Pinsa,13.59,0,0,B
18,Kraina Wędlin Nature,Parówki z szynki,277,24.0,1.3,0.6,14.0,1.8,Food,Meat,4.99,0,0,C
19,Kraina Wędlin Nature,Salami plastry,364,31.0,0.5,0.5,21.0,3.5,Food,Meat,4.99,0,0,C
20,Dania Express,Lasagne bolognese,172,8.8,15.0,1.5,7.5,0.96,Food,Pre-made meal,15.99,0,0,C
21,Henglein,Kopytka Nasze Smaki,148,1.2,30.0,2.5,3.0,1.2,Food,Pre-made meal,5.75,0,0,C
22,Vital fresh,Surówka Colesław,100,6.3,8.2,6.8,1.5,0.77,Food,Pre-made meal,4.49,0,0,D
23,Muller,Mullermilch,71,1.6,10.7,10.2,3.4,0.15,Drink,Milkshake,3.95,0,1,C
24,Zott,Jogobella,90,2.7,12.0,11.4,3.5,0.14,Food,Yoghurt,2.09,0,0,C
25,Zott,Jogobella,89,2.7,11.6,11.0,3.5,0.15,Food,Yoghurt,2.09,0,0,C
26,Bakoma,Bakuś Milk&Fun,105,3.3,15.4,14.2,3.5,0.2,Food,Yoghurt,3.09,0,0,C
27,Biedronka,Bułka grahamka,262,1.5,48.0,1.8,11.0,1.5,Food,Bread,0.75,0,0,B
28,Podlaski,Pasztet drobiowy,181,15.0,4.0,0.8,7.0,1.4,Food,Canned food,3.45,0,0,C
29,Merci,Merci,563,36.1,49.9,48.0,7.8,0.17,Food,Chocolates,19.99,1,0,D
30,Lay’s,Lay’s paprykowe,517,30.0,52.0,2.2,6.6,1.3,Food,Crisps,7.69,0,0,D
31,Elios,Ser feta,276,23.0,0.7,0.7,16.5,2.2,Food,Cheese,8.39,0,0,D
32,Top,Top chipsy,542,35.0,49.0,0.6,5.5,1.1,Food,Crisps,3.99,0,0,D
33,Nasza spiżarnia,Pomidory całe,20,0.5,3.1,3.1,1.1,0.6,Food,Canned food,2.99,0,0,C
34,Nussbeisser,Nussbeisser Czekolada mleczna z całymi migdałami ,547,33.0,50.0,48.0,9.1,0.29,Food,Chocolate,8.99,1,0,D
35,Marinero,Tuńczyk kawałki w sosie własnym,75,0.5,0.5,0.0,17.0,0.61,Food,Canned food,6.18,0,0,A
36,Crunchips,Crunchips X-Cut Ser & Cebula,524,32.0,51.0,1.0,5.8,1.6,Food,Crisps,8.15,0,0,D
37,San,San Holenderskie Herbatniki półsłodkie oblane czekoladą mleczną,481,20.0,67.0,28.0,7.9,0.75,Food,Cookies,4.49,1,0,E
38,Delicje,Delicje Sz. Pomarańczowe,359,7.1,70.0,51.0,3.3,0.23,Food,Cookies,4.79,1,0,E
39,Prince polo,Prince Polo Mleczne XXL wafelek,525,28.0,61.0,42.0,6.0,0.44,Food,Chocolate bar,2.49,1,0,E
40,Przysnacki,Przysnacki Prażynki solone,520,30.0,60.0,0.5,1.3,2.0,Food,Crisps,5.99,0,0,E
41,Bonitki,Bonitki Rurki z kremem o smaku kokosowym,517,26.0,65.0,41.0,5.4,0.14,Food,Cookies,3.99,1,0,E
42,Princessa,Princessa Longa Kokosowa Wafel przekładany kremem kokosowym oblany białą czekoladą,564,35.6,53.5,36.9,6.8,0.43,Food,Chocolate bar,2.29,1,0,E
43,Wedel,E. Wedel Wafel WW,540,29.0,61.0,53.0,7.5,0.2,Food,Chocolate bar,1.79,1,0,E
44,Pudliszki,Pudliszki Ketchup pikantny,109,0.0,25.0,22.0,1.7,2.4,Food,Sauce,4.99,0,0,D
45,Spółdzielnia mleczarska w Gostyniu,Masło Gostyńskie Ekstra,753,83.0,0.7,0.7,0.7,0.02,Food,Butter,8.39,0,0,C
46,Vifon,VIFON Curry Zupa błyskawiczna z kluskami o smaku kurczaka,72,3.3,9.1,0.2,1.3,0.6,Food,Pre-made meal,2.09,1,0,C
47,Top,TOP Chipsy w tubie papryka ,504,27.0,60.0,2.9,3.9,1.8,Food,Crisps,4.99,0,0,E
48,Graal,Filet z Makreli w Sosie Pomidorowym,170,12.0,5.6,3.8,10.0,1.0,Food,Canned food,6.99,0,0,C
49,Bonitki,Bonitki Setters Wafelek mleczno-orzechowy,530,30.0,55.0,33.0,8.3,0.3,Food,Chocolate bar,2.59,0,0,E
50,Pringles,Pringles Sour Cream & Onion ,525,30.0,56.0,2.5,6.0,1.3,Food,Crisps,10.99,0,0,D
51,Monster munch,Lorenz Monster Munch Original,556,34.0,60.0,5.1,1.8,2.8,Food,Crisps,5.75,0,0,E
52,Cheetos,Cheetos Spirals Chrupki kukurydziane o smaku serowo-ketchupowym,514,28.0,59.0,4.8,5.8,1.7,Food,Crisps,5.99,0,0,E
53,Magnetic,Magnetic Chałwa sezamowa o smaku waniliowo – kakaowym,528,31.0,46.0,25.0,13.0,0.02,Food,Chocolate bar,2.49,0,0,D
54,Dega,Dega Paprykarz z dorszem,125,6.6,11.0,3.2,4.9,1.4,Food,Canned food,2.89,0,0,C
55,Kinder,Kinder Cards Wafel wypełniony mlecznym i kakaowym nadzieniem,510,26.3,55.9,42.9,11.5,0.45,Food,Cookies,6.49,1,0,E
56,Princessa,PRINCESSA Klasyczna Wafel przekładany kremem kakaowym oblany deserową ,541,31.6,57.1,39.3,5.4,0.26,Food,Chocolate bar,2.29,1,0,E
57,Przysnacki,Przysnacki Chrupki o smaku zielona cebulka,479,19.0,69.0,3.7,6.7,1.5,Food,Crisps,5.99,0,0,D
58,Wadowice skawa,Wadowice Skawa Korsarz Draże kokosowe XXL,488,19.0,74.0,71.0,3.4,0.2,Food,Chocolate dragees,3.69,1,0,E
59,Tarczyński,Tarczyński Kabanosy roślINNE 3 ziarna ,415,29.0,17.0,8.6,21.0,2.5,Food,Meat,7.42,0,0,D
60,Pudliszki,Pudliszki Ketchup łagodny,116,0.0,27.0,20.0,1.6,2.6,Food,Sauce,4.99,0,0,D
61,Amino,Zupa błyskawiczna Amino Grzybowa,76,3.5,9.5,0.5,1.3,0.75,Food,Pre-made meal,2.39,1,0,C
62,Bakoma,Jogurt białkowy MEN,82,1.5,7.0,6.7,10.0,0.15,Food,Yoghurt,,0,0,B
63,Bakoma,Baton białkowy MEN,317,11.0,17.4,3.5,31.5,0.4,Food,Chocolate bar,,0,0,B
64,Krasnystaw,Krasnystaw Kefir,50,2.0,4.7,4.2,3.4,0.08,Food,Kefir,2.75,0,0,B
65,Nestle,Płatki Nesquik,377,8.5,2.8,75.2,22.4,0.22,Food,Cornflakes,,1,0,C
66,Bakoma,Kefir proteinowy MEN,71,2.0,7.3,7.3,6.0,0.12,Food,Kefir,,0,0,B
67,Żabka,Panini z sosem bazyliowym,243,8.6,27.0,1.8,13.0,1.4,Food,Pre-made meal,,0,0,C
68,Graal,Graal Mexicana Tuńczyk z warzywami,212,15.0,9.3,3.4,8.9,0.81,Food,Canned food,8.39,0,0,D
69,Rio Mare,Rio Mare Tuńczyk w sosie własnym,101,0.5,0.0,0.0,24.0,1.1,Food,Canned food,13.59,0,0,A
70,Marinero,Marinero Łosoś świeży filet ze skórą,220,16.0,0.0,0.0,19.0,0.12,Food,Fish,6.99,0,0,B
71,McDonalds,Cheeseburger,254,11.0,25.0,6.0,13.0,1.3,Food,Fast food,6.9,0,0,D
72,McDonalds,Podwójny WieśMac,279,19.0,10.0,2.6,16.0,0.84,Food,Fast food,25.9,0,0,C
73,McDonalds,Maestro Grand Classic,229,12.0,16.0,3.8,13.0,1.07,Food,Fast food,28.5,0,0,C
74,McDonalds,Veggie Burger,208,11.0,21.0,4.9,5.8,1.3,Food,Fast food,20.5,0,0,C
75,Nortfish,Fishburger classic,216,8.9,24.7,3.2,8.5,0.9,Food,Fast food,,0,0,C
76,MaxBurger,Hamburger z serem,270,16.2,18.9,3.4,11.7,1.4,Food,Fast food,,0,0,D
77,MaxBurger,Serki chilli duże,294,14.0,31.5,2.7,10.0,2.0,Food,Fast food,,0,0,D
78,McDonalds,McWrap Bekon,248,13.0,23.0,2.6,9.6,1.0,Food,Fast food,21.7,0,0,C
79,McDonalds,Chikker,272,12.0,30.0,3.6,9.6,1.1,Food,Fast food,6.9,0,0,D
80,McDonalds,Frytki małe,287,14.0,36.0,0.3,3.6,0.67,Food,Fast food,8.7,0,0,D
81,BurgerKing,Cheeseburger,267,14.0,20.0,3.9,17.0,1.1,Food,Fast food,,0,0,C
82,KFC,Longer,242,8.0,33.0,7.8,9.3,1.5,Food,Fast food,,0,0,D
